id          , title                                                                                      , company                                , location                            , url                                                                                                                                                   , description, status, priority, notes                                            , firstSeenAt             , scrapedAt
4403c019005c, Cloud Infrastructure & Reliability Engineer (AWS) - Jetpac                                 , Circles                                , "Gurugram, Haryana, India"          , https://in.linkedin.com/jobs/view/cloud-infrastructure-reliability-engineer-aws-jetpac-at-circles-4411700503                                          ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
ce53f936ab79, Platform Engineer (SRE) - Intermediate                                                     , Equifax                                , "Trivandrum, Kerala, India"         , https://in.linkedin.com/jobs/view/platform-engineer-sre-intermediate-at-equifax-4402119024                                                            ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
cb9b57757718, DevOps Engineer                                                                            , Bellurbis                              , "Delhi, India"                      , https://in.linkedin.com/jobs/view/devops-engineer-at-bellurbis-4419245435                                                                             ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
bd63c43fa9b8, Devops Engineer                                                                            , symplr                                 , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/devops-engineer-at-symplr-4360921643                                                                                ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
704f7782d1f2, CloudOps Engineer                                                                          , symplr                                 , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/cloudops-engineer-at-symplr-4408989592                                                                              ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
15cf2d60284b, DevOps Engineer                                                                            , OpenFX                                 , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/devops-engineer-at-openfx-4405541259                                                                                ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
4308c43f4dba, AWS DevOps Engineer                                                                        , Miratech                               , "Roorkee, Uttarakhand, India"       , https://in.linkedin.com/jobs/view/aws-devops-engineer-at-miratech-4417201461                                                                          ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
44f75d905cf9, Site Reliability Engineer                                                                  , "Logile, Inc."                         , "Bhubaneswar, Odisha, India"        , https://in.linkedin.com/jobs/view/site-reliability-engineer-at-logile-inc-4418821320                                                                  ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
cddb7d028b08, Site Reliability Engineer                                                                  , Redpin                                 , "Hyderabad, Telangana, India"       , https://in.linkedin.com/jobs/view/site-reliability-engineer-at-redpin-4421799823                                                                      ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
653c2f3a9306, DevOps Engineer                                                                            , Bachatt                                , "Gurugram, Haryana, India"          , https://in.linkedin.com/jobs/view/devops-engineer-at-bachatt-4422882747                                                                               ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
bc4f7bb0e289, AWS DevOps Engineer                                                                        , Miratech                               , Mumbai Metropolitan Region          , https://in.linkedin.com/jobs/view/aws-devops-engineer-at-miratech-4417631782                                                                          ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
a7041deb8311, Dev. Ops Engineer                                                                          , Zuora                                  , "Chennai, Tamil Nadu, India"        , https://in.linkedin.com/jobs/view/dev-ops-engineer-at-zuora-4419864267                                                                                ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
94f77c56a8ff, DevOps Engineer II                                                                         , Planview                               , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/devops-engineer-ii-at-planview-4408192081                                                                           ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
28a61615e0ce, DevOps Engineer                                                                            , Lxme                                   , "Mumbai, Maharashtra, India"        , https://in.linkedin.com/jobs/view/devops-engineer-at-lxme-4406039176                                                                                  ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
ec7815be3bca, DevOps Engineer                                                                            , AAFT                                   , "Noida, Uttar Pradesh, India"       , https://in.linkedin.com/jobs/view/devops-engineer-at-aaft-4423848063                                                                                  ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
fd55589552cf, DevOps Engineer                                                                            , Ordway - Billing and Revenue Automation, "Pune Division, Maharashtra, India" , https://in.linkedin.com/jobs/view/devops-engineer-at-ordway-billing-and-revenue-automation-4422126621                                                 ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
56941ae9c00f, Site Reliability Engineer II                                                               , Backblaze                              , "Bengaluru East, Karnataka, India"  , https://in.linkedin.com/jobs/view/site-reliability-engineer-ii-at-backblaze-4417601069                                                                ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
7e01952f27b1, DevOps Engineer                                                                            , Mount Talent Consulting Pvt Ltd.       , "Pune District, Maharashtra, India" , https://in.linkedin.com/jobs/view/devops-engineer-at-mount-talent-consulting-pvt-ltd-4421795701                                                       ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
0b46ccef3975, Site Reliability Engineer                                                                  , TeamViewer                             , "Noida, Uttar Pradesh, India"       , https://in.linkedin.com/jobs/view/site-reliability-engineer-at-teamviewer-4380333751                                                                  ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
14912ff95919, DevOps Engineer-II                                                                         , Moonfrog Labs                          , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/devops-engineer-ii-at-moonfrog-labs-4419804055                                                                      ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
0d7f3463ffab, DevOps Engineer                                                                            , Sav.com                                , "Pune District, Maharashtra, India" , https://in.linkedin.com/jobs/view/devops-engineer-at-sav-com-4420816055                                                                               ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
6f777b23ccb7, Site Reliability Engineer II                                                               , EarnIn                                 , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/site-reliability-engineer-ii-at-earnin-4421341641                                                                   ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
e273547f7c64, Cloud Computing Engineer (AWS DevOps)                                                      , Info Origin Inc.                       , "Gondia, Maharashtra, India"        , https://in.linkedin.com/jobs/view/cloud-computing-engineer-aws-devops-at-info-origin-inc-4423887647                                                   ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
ae18b82ce678, DevOps Engineer                                                                            , NEOGOV                                 , India                               , https://in.linkedin.com/jobs/view/devops-engineer-at-neogov-4419002501                                                                                ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
53069fe1ecab, Cloud Engineer (DevOps / Security)                                                         , Konfirmity                             , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/cloud-engineer-devops-security-at-konfirmity-4416821075                                                             ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
ccbd04ebcce4, DevOps Engineer                                                                            , Recro                                  , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/devops-engineer-at-recro-4418589164                                                                                 ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
15a178231acd, "Devops Engineer (Development Operations Engineer, SaaS)"                                  , NetBrain Technologies Inc.             , Greater Hyderabad Area              , https://in.linkedin.com/jobs/view/devops-engineer-development-operations-engineer-saas-at-netbrain-technologies-inc-4401703039                        ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
416ed9c5d14b, Cloud Infrastructure & Site Reliability Engineer (DevOps + SRE + CloudOps)                 , MishiPay                               , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/cloud-infrastructure-site-reliability-engineer-devops-%2B-sre-%2B-cloudops-at-mishipay-4423886488                   ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
d54243d69714, DevOps Engineer                                                                            , Appfabs Incorporation                  , "Trivandrum, Kerala, India"         , https://in.linkedin.com/jobs/view/devops-engineer-at-appfabs-incorporation-4420282905                                                                 ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
35d3588e7140, Devops Engineer - I                                                                        , Netomi                                 , "Gurugram, Haryana, India"          , https://in.linkedin.com/jobs/view/devops-engineer-i-at-netomi-4418737979                                                                              ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
2e99d4c59c32, Site Reliability Engineer-Career                                                           , Equifax                                , "Trivandrum, Kerala, India"         , https://in.linkedin.com/jobs/view/site-reliability-engineer-career-at-equifax-4418249720                                                              ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
0daf53fe657b, Site Reliability Engineer                                                                  , SS&C Technologies                      , "Hyderabad, Telangana, India"       , https://in.linkedin.com/jobs/view/site-reliability-engineer-at-ss-c-technologies-4421851844                                                           ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
1ce8b9aab2c7, Site Reliability Engineer                                                                  , Insight Global                         , "Hyderabad, Telangana, India"       , https://in.linkedin.com/jobs/view/site-reliability-engineer-at-insight-global-4420904685                                                              ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
c8f4be8d7823, Engineer II - TechOps CICD SRE (Services Focused)                                          , CrowdStrike                            , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/engineer-ii-techops-cicd-sre-services-focused-at-crowdstrike-4418741825                                             ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
e1733a08a88f, AWS DevOps Engineer                                                                        , Workfall                               , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/aws-devops-engineer-at-workfall-4423874097                                                                          ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
099629952b7c, DevOps Engineer E2 - InfraOps                                                              , BitGo                                  , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/devops-engineer-e2-infraops-at-bitgo-4370747227                                                                     ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
ace186098fe1, DevOps Engineer                                                                            , Simform                                , "Ahmedabad, Gujarat, India"         , https://in.linkedin.com/jobs/view/devops-engineer-at-simform-4410723503                                                                               ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
bebca1a417a7, Cloud Operations Engineer                                                                  , Prophecy Technologies                  , "Hyderabad, Telangana, India"       , https://in.linkedin.com/jobs/view/cloud-operations-engineer-at-prophecy-technologies-4423894266                                                       ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
2a3035cd3622, DevOps Infrastructure Engineer II                                                          , Arrise Solutions (India) Pvt. Ltd.     , "Hyderabad, Telangana, India"       , https://in.linkedin.com/jobs/view/devops-infrastructure-engineer-ii-at-arrise-solutions-india-pvt-ltd-4403189639                                      ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
17975194e2c5, DevOps Engineer                                                                            , Helpshift                              , "Pune District, Maharashtra, India" , https://in.linkedin.com/jobs/view/devops-engineer-at-helpshift-4419849756                                                                             ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
dfe84be1d12f, Devops Engineer                                                                            , Stratacent                             , "Pune Division, Maharashtra, India" , https://in.linkedin.com/jobs/view/devops-engineer-at-stratacent-4418554929                                                                            ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
85775468dd2f, DevOps Engineer (3-6 years)                                                                , Appiness Interactive                   , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/devops-engineer-3-6-years-at-appiness-interactive-4422809461                                                        ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
2d50e3fed17b, DevOps Engineer                                                                            , Helfie.AI                              , "Hyderabad, Telangana, India"       , https://in.linkedin.com/jobs/view/devops-engineer-at-helfie-ai-4418724044                                                                             ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
